year,title,doc
2021,Changing the means of managerial work: effects of automated decision support systems on personnel selection tasks,<title>Changing the means of managerial work: effects of automated decision support systems on personnel selection tasks</title>
2020,Altered Default Mode Network Dynamics in Civil Aviation Pilots,<title>Altered Default Mode Network Dynamics in Civil Aviation Pilots</title>
2020,Fatigue in Aeromedicine: A Validity Study of the Flight Risk Assessment,<title>Fatigue in Aeromedicine: A Validity Study of the Flight Risk Assessment</title>
2020,Visual Analysis as a Predictor of Performance in Air Traffic Control Trainees,<title>Visual Analysis as a Predictor of Performance in Air Traffic Control Trainees</title>
2020,Interventions to support the management of work-related stress (WRS) and wellbeing/mental health issues for commercial pilots,<title>Interventions to support the management of work-related stress (WRS) and wellbeing/mental health issues for commercial pilots</title>
2020,"Climate and ties in workplace versus sense of danger and stress, based on empirical research in the aviation industry","<title>Climate and ties in workplace versus sense of danger and stress, based on empirical research in the aviation industry</title>"
2020,"Responding to an Unexpected In-Flight Event: Physiological Arousal, Information Processing, and Performance","<title>Responding to an Unexpected In-Flight Event: Physiological Arousal, Information Processing, and Performance</title>"
2020,Inferring Circadian Rhythms of Cognitive Performance in Everyday Life,<title>Inferring Circadian Rhythms of Cognitive Performance in Everyday Life</title>
2020,Analytic Hierarchy Process–Based Selection Method for Airline Pilot Candidates,<title>Analytic Hierarchy Process–Based Selection Method for Airline Pilot Candidates</title>
2020,Assessing Person-Job Fit for Careers as Remotely Piloted Aircraft Sensor Operators,<title>Assessing Person-Job Fit for Careers as Remotely Piloted Aircraft Sensor Operators</title>
2020,Adversity in Aviation: Understanding Resilience in the Workplace for Female Pilots,<title>Adversity in Aviation: Understanding Resilience in the Workplace for Female Pilots</title>
2020,Is It All about the Mission? Comparing Non-technical Skills across Offshore Transport and Search and Rescue Helicopter Pilots,<title>Is It All about the Mission? Comparing Non-technical Skills across Offshore Transport and Search and Rescue Helicopter Pilots</title>
2020,Certified Flight Instructors’ Performance–Review of the Literature and Exploration of Future Steps,<title>Certified Flight Instructors’ Performance–Review of the Literature and Exploration of Future Steps</title>
2020,Predictive Validity of the Air Force Officer Qualifying Test (AFOQT) for Pilot Performance: A Meta-Analytic Investigation at the Subtest Level,<title>Predictive Validity of the Air Force Officer Qualifying Test (AFOQT) for Pilot Performance: A Meta-Analytic Investigation at the Subtest Level</title>
2020,Exploring the Association between Communication Satisfaction and Trust in the Aviation Maintenance Environment: An International Study,<title>Exploring the Association between Communication Satisfaction and Trust in the Aviation Maintenance Environment: An International Study</title>
2020,"Work, Gender, and Sexual Harassment on the Frontlines of Commercial Travel: A Cross-Sectional Study of Flight Crew Well-Being","<title>Work, Gender, and Sexual Harassment on the Frontlines of Commercial Travel: A Cross-Sectional Study of Flight Crew Well-Being</title>"
2020,Effects of Fatigue on Cognitive Performance in Long-Duration Simulated Flight Missions,<title>Effects of Fatigue on Cognitive Performance in Long-Duration Simulated Flight Missions</title>
2020,The Effectiveness of a Mnemonic-Type Startle and Surprise Management Procedure for Pilots,<title>The Effectiveness of a Mnemonic-Type Startle and Surprise Management Procedure for Pilots</title>
2020,An Alternative Method for Identifying a Failed Engine in Twin-Engine Propeller Aircraft,<title>An Alternative Method for Identifying a Failed Engine in Twin-Engine Propeller Aircraft</title>
2020,Flying Solo: A Vignette-Based Examination of General Aviation Pilot Risk Perception and Decision-Making,<title>Flying Solo: A Vignette-Based Examination of General Aviation Pilot Risk Perception and Decision-Making</title>
2020,Framing Effect in Safety Risk Probability Assessment: A Prospect Theory Approach,<title>Framing Effect in Safety Risk Probability Assessment: A Prospect Theory Approach</title>
2020,Review of Aviation Safety Databases to Identify Information Discrepancies Experienced on the Flight Deck: Implications for NextGen,<title>Review of Aviation Safety Databases to Identify Information Discrepancies Experienced on the Flight Deck: Implications for NextGen</title>
2020,"Mental Health of Flying Cabin Crews: Depression, Anxiety, and Stress Before and During the COVID-19 Pandemic","<title>Mental Health of Flying Cabin Crews: Depression, Anxiety, and Stress Before and During the COVID-19 Pandemic</title>"
2020,Commercial airline protocol during COVID-19 pandemic: An experience of Thai Airways International,<title>Commercial airline protocol during COVID-19 pandemic: An experience of Thai Airways International</title>
2020,Flying in the Face of Climate Change: Quantitative psychological approach examining the social drivers of individual air travel,<title>Flying in the Face of Climate Change: Quantitative psychological approach examining the social drivers of individual air travel</title>
2020,"General Aviation Airport Runway Incursions: A Qualitative Approach to Examining Reasons for, Barriers to Addressing, and Lessons Learned from Airport Managers’ First-Hand Experiences","<title>General Aviation Airport Runway Incursions: A Qualitative Approach to Examining Reasons for, Barriers to Addressing, and Lessons Learned from Airport Managers’ First-Hand Experiences</title>"
2020,"A Review of Hijack Events by Airline Employees, with a Particular Reference to Pilot Suicide Using an Aircraft (PSUA): An Analysis of the Triggering Factors and Current Mitigation","<title>A Review of Hijack Events by Airline Employees, with a Particular Reference to Pilot Suicide Using an Aircraft (PSUA): An Analysis of the Triggering Factors and Current Mitigation</title>"
2020,Recommendations for emerging air taxi network operations based on online review analysis of helicopter services,<title>Recommendations for emerging air taxi network operations based on online review analysis of helicopter services</title>
2020,The Development of the Spirituality of a Technical University’s Lecturer in an Advanced Training System,<title>The Development of the Spirituality of a Technical University’s Lecturer in an Advanced Training System</title>
2020,The Influence of Consumer Personal Values on Airline Choice Within the South African Domestic Market,<title>The Influence of Consumer Personal Values on Airline Choice Within the South African Domestic Market</title>
2020,Psychological safety in aviation new product development teams: Case study of 737 max airplane,<title>Psychological safety in aviation new product development teams: Case study of 737 max airplane</title>
2020,Black Swan Pandemic and the Risk of Pilot Suicide,<title>Black Swan Pandemic and the Risk of Pilot Suicide</title>
2020,Psychological determinacy of communication styles of aviation industry students,<title>Psychological determinacy of communication styles of aviation industry students</title>
2020,A Comparative Evaluation of Hypotheses to Explain the Black Hole Illusion,<title>A Comparative Evaluation of Hypotheses to Explain the Black Hole Illusion</title>
2020,Features of formation of constructive life position of air transport specialists,<title>Features of formation of constructive life position of air transport specialists</title>
2020,Dynamic assessment of control room operator's cognitive workload using Electroencephalography (EEG),<title>Dynamic assessment of control room operator's cognitive workload using Electroencephalography (EEG)</title>
2020,Preparing for ‘COVID-27’: Lessons in management focus – An Australian general aviation perspective,<title>Preparing for ‘COVID-27’: Lessons in management focus – An Australian general aviation perspective</title>
2020,Mental health concerns in quarantined international air passengers during COVID-19 pandemic – An experiential account,<title>Mental health concerns in quarantined international air passengers during COVID-19 pandemic – An experiential account</title>
2020,Air traffic control competencies measurements based on functional near-infrared spectroscopy,<title>Air traffic control competencies measurements based on functional near-infrared spectroscopy</title>
2020,"The Requirements for New Tools for Use by Pilots and the Aviation Industry to Manage Risks Pertaining to Work-Related Stress (WRS) and Wellbeing, and the Ensuing Impact on Performance and Safety","<title>The Requirements for New Tools for Use by Pilots and the Aviation Industry to Manage Risks Pertaining to Work-Related Stress (WRS) and Wellbeing, and the Ensuing Impact on Performance and Safety</title>"
